Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28595937,2024-04-09 07:15:32,2024-04-09 07:09:00,30645007,8453133676,30645007,275,2723,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595937/SRR28595937.lite.1,SRX24195025,DG75-ER-OHT-24h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968810,SAMN40891586,simple,9606,Homo sapiens,ER-4OHT 24h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,F5C1DF502AD7E2B6466FB05FE2B73965,33A4F93A8A740FA5E8339781FCDAE1E8
SRR28595936,2024-04-09 07:10:22,2024-04-09 07:07:23,24136966,6669373430,24136966,276,2149,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595936/SRR28595936.lite.1,SRX24195026,DG75-ER-OHT-24h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968811,SAMN40891587,simple,9606,Homo sapiens,ER-4OHT 24h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,A6239037E06C37C37F09389121F4A3C9,FFFDF273D5268F172A88D2882276FE7D
SRR28595935,2024-04-09 07:10:22,2024-04-09 07:05:44,19512793,5429936997,19512793,278,1745,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595935/SRR28595935.lite.1,SRX24195027,DG75-ER-OHT-24h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968812,SAMN40891588,simple,9606,Homo sapiens,ER-4OHT 24h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,D5F512CF1DCB1807F5FD1F314681CA0E,9DFE298EE632B11781E393CE018572E9
SRR28595927,2024-04-09 07:09:23,2024-04-09 07:04:11,25393664,7020985953,25393664,276,2265,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595927/SRR28595927.lite.1,SRX24195035,DG75-ER-OHT-8h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968821,SAMN40891574,simple,9606,Homo sapiens,ER-4OHT 8h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,7520C5F0E2C4E733FF7A44E8180F19F0,AEA8046FB24358A564586E522EC4F876
SRR28595926,2024-04-09 07:10:22,2024-04-09 07:05:54,23410974,6413262112,23410974,273,2058,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595926/SRR28595926.lite.1,SRX24195036,DG75-ER-OHT-8h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968822,SAMN40891575,simple,9606,Homo sapiens,ER-4OHT 8h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,6D3DCCBBC92D19CF79C3D275FB82E9EC,C26A4DC9198453603AEDF49F39C2D7D0
SRR28595925,2024-04-09 07:10:22,2024-04-09 07:08:16,28210358,7823190189,28210358,277,2511,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595925/SRR28595925.lite.1,SRX24195037,DG75-ER-OHT-8h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968823,SAMN40891576,simple,9606,Homo sapiens,ER-4OHT 8h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,158E59222108A0744BCB28F76411D4CC,88C79DBD89C12844DFEA02B3EAEF0022
SRR28595940,2024-04-09 07:09:23,2024-04-09 07:05:00,33436964,9241253094,33436964,276,2962,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595940/SRR28595940.lite.1,SRX24195022,DG75-ER-Eth-24h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968805,SAMN40891583,simple,9606,Homo sapiens,ER-EtOH 24h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,76F1118569F0DE54646AD5A3B15D1F95,708F5A72DF99FAE4A516AF510D31C611
SRR28595939,2024-04-09 07:15:32,2024-04-09 07:09:03,31203387,8679697114,31203387,278,2794,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595939/SRR28595939.lite.1,SRX24195023,DG75-ER-Eth-24h-R2,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968808,SAMN40891584,simple,9606,Homo sapiens,ER-EtOH 24h R2,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,7A30A3B40C1F66766B55BA58DE4C745B,43A11DCD631D31E780CFA34A77D0E283
SRR28595938,2024-04-09 07:10:22,2024-04-09 07:08:21,28829035,7942116668,28829035,275,2561,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595938/SRR28595938.lite.1,SRX24195024,DG75-ER-Eth-24h-R3,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968809,SAMN40891585,simple,9606,Homo sapiens,ER-EtOH 24h R3,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,1B6CE9291E2A50E3CFB440084713C7FC,BFA45F7E039FD6CD041CDD7EFDD2B123
SRR28595944,2024-04-09 07:10:22,2024-04-09 07:07:07,31772271,8767458961,31772271,275,2806,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28595/SRR28595944/SRR28595944.lite.1,SRX24195018,DG75-ER-Eth-8h-R1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP500479,PRJNA1097853,,1097853,SRS20968806,SAMN40891571,simple,9606,Homo sapiens,ER-EtOH 8h R1,,,,,not applicable,,no,,,,,KIEL UNIVERSITY,SRA1842315,,public,D5925750FCF986C74914EC8D2049E18C,73544B258A3EDC44448F68E38D6392E5
